Date,Open,High,Low,Close,Adj Close,Volume
2013-09-01,null,null,null,null,null,null
2013-10-01,36.520000,38.445000,34.980000,37.880001,34.483658,178418000
2013-11-01,37.900002,39.935001,37.790001,39.570000,36.022129,102247600
2013-12-01,39.735001,40.130001,37.709999,39.320000,35.794544,162278800
2014-01-01,39.075001,39.415001,35.755001,36.424999,33.367554,167970600
2014-02-01,36.380001,39.529999,34.924999,39.150002,35.863815,136880200
2014-03-01,38.814999,40.044998,36.505001,36.930000,34.038509,178531800
2014-04-01,37.009998,37.590000,35.299999,36.474998,33.619129,166126400
2014-05-01,36.404999,38.465000,35.764999,38.455002,35.444099,113444000
2014-06-01,38.494999,39.575001,36.570000,38.775002,35.965401,165319600
2014-07-01,38.865002,39.970001,38.150002,38.564999,35.770622,134401800
2014-08-01,38.270000,40.150002,37.950001,39.275002,36.429169,115312800
2014-09-01,39.174999,45.145000,39.174999,44.599998,41.873913,217202400
2014-10-01,44.455002,47.070000,41.924999,46.485001,43.643703,183619800
2014-11-01,46.674999,49.880001,46.310001,49.645000,46.610550,99490000
2014-12-01,49.330002,49.750000,46.415001,48.075001,45.136513,166357300
2015-01-01,48.275002,48.724998,46.014999,46.125000,43.555458,65078600
2015-02-01,46.340000,48.705002,45.345001,48.560001,45.854813,69169400
2015-03-01,48.445000,51.895000,47.590000,50.165001,47.645981,94241100
2015-04-01,50.000000,51.000000,49.070000,49.419998,46.938385,61647000
2015-05-01,49.939999,52.750000,49.705002,50.834999,48.282333,57032200
2015-06-01,50.884998,55.169998,50.389999,54.009998,51.578770,70939300
2015-07-01,54.474998,57.970001,54.294998,57.610001,55.016720,63468900
2015-08-01,57.755001,112.690002,47.250000,112.620003,107.550476,102499000
2015-09-01,54.490002,62.974998,54.014999,61.485001,58.717281,129835300
2015-10-01,61.580002,66.760002,60.500000,65.514999,62.883980,155220000
2015-11-01,65.864998,67.650002,60.209999,66.139999,63.483887,157813300
2015-12-01,66.059998,68.195000,62.150002,62.500000,59.990063,176476500
2016-01-01,61.110001,62.590000,56.590000,62.009998,59.808998,201089300
2016-02-01,61.750000,63.500000,53.639999,61.590000,59.403915,210777400
2016-03-01,61.970001,65.440002,57.950001,61.470001,59.288166,230046500
2016-04-01,61.220001,61.849998,56.889999,58.939999,56.994526,178008400
2016-05-01,59.090000,59.990002,55.169998,55.220001,53.397320,192223100
2016-06-01,53.330002,55.639999,51.480000,55.200001,53.377983,316652300
2016-07-01,55.070000,58.869999,54.820000,55.500000,53.824860,166759400
2016-08-01,55.730000,60.330002,54.279999,57.639999,55.900269,180845100
2016-09-01,57.669998,59.180000,52.119999,52.650002,51.060886,230891200
2016-10-01,52.540001,53.060001,50.000000,50.180000,48.934647,190211200
2016-11-01,50.500000,51.889999,49.009998,50.070000,48.827377,165972900
2016-12-01,50.110001,53.349998,50.060001,51.720001,50.436424,229408200
2017-01-01,51.990002,54.119999,51.630001,52.900002,51.773266,175817200
2017-02-01,52.980000,58.419998,52.049999,57.160000,55.942528,178338300
2017-03-01,57.860001,59.000000,53.759998,55.730000,54.542992,249512200
2017-04-01,55.740002,56.689999,54.500000,55.410000,54.398777,137900400
2017-05-01,55.430000,55.450001,50.810001,52.990002,52.022942,223428200
2017-06-01,53.060001,59.709999,50.790001,59.000000,57.923260,275319700
2017-07-01,58.369999,60.000000,57.000000,59.049999,58.169937,158127000
2017-08-01,59.000000,60.529999,52.070000,52.810001,52.022938,174889500
2017-09-01,53.000000,54.160000,51.029999,51.849998,51.252766,211929400
2017-10-01,52.160000,57.250000,50.349998,54.990002,54.356602,247775300
2017-11-01,55.419998,61.209999,54.590000,60.419998,59.724049,182957400
2017-12-01,60.419998,65.190002,59.240002,62.549999,61.829517,198525200
2018-01-01,62.849998,68.830002,62.549999,68.220001,67.658165,157725500
2018-02-01,67.669998,70.250000,62.090000,67.029999,66.477966,160317000
2018-03-01,67.239998,67.690002,63.889999,66.440002,65.892830,174066700
2018-04-01,65.970001,70.000000,63.209999,68.389999,68.031937,158981900
2018-05-01,67.980003,73.489998,66.639999,71.800003,71.424080,128998700
2018-06-01,72.120003,81.000000,71.150002,79.680000,79.262825,156468800
2018-07-01,78.580002,79.480003,75.059998,76.910004,76.721031,122265700
2018-08-01,76.500000,83.680000,76.500000,82.199997,81.998032,123635500
2018-09-01,79.389999,86.040001,79.000000,84.540001,84.540001,158220600
