Date,Open,High,Low,Close,Adj Close,Volume
2013-09-01,null,null,null,null,null,null
2013-10-01,96.180000,96.699997,93.139999,96.519997,82.299850,105109100
2013-11-01,96.519997,99.269997,96.320000,97.370003,83.024620,127462000
2013-12-01,97.290001,97.290001,94.040001,97.029999,83.422836,90582200
2014-01-01,96.809998,97.080002,92.870003,94.169998,80.963913,115669600
2014-02-01,94.540001,97.000000,92.220001,95.150002,81.806473,94318500
2014-03-01,94.239998,99.070000,94.000000,98.029999,85.000603,119892900
2014-04-01,98.099998,101.779999,96.519997,101.379997,87.905357,114839100
2014-05-01,100.680000,103.779999,100.330002,101.430000,87.948700,86521200
2014-06-01,101.389999,102.620003,99.410004,100.739998,88.054497,87062600
2014-07-01,100.430000,101.360001,94.559998,94.559998,82.652718,116896600
2014-08-01,94.300003,95.370003,92.919998,93.720001,81.918472,103875700
2014-09-01,93.239998,97.300003,90.529999,94.809998,84.311989,145563800
2014-10-01,94.370003,95.290001,89.339996,93.730003,83.351563,136770100
2014-11-01,93.779999,97.500000,93.019997,96.809998,86.090523,89659200
2014-12-01,96.150002,97.500000,87.620003,93.699997,84.061501,171258800
2015-01-01,94.129997,95.000000,88.769997,92.440002,82.931122,152615800
2015-02-01,92.050003,99.879997,91.430000,98.900002,88.726608,140041500
2015-03-01,98.900002,101.089996,94.940002,97.440002,88.176476,164467400
2015-04-01,96.809998,99.349998,94.459999,96.550003,87.371094,135637400
2015-05-01,96.730003,101.080002,95.570000,95.930000,86.810020,130921500
2015-06-01,95.839996,97.959999,94.019997,95.070000,86.779434,111275100
2015-07-01,95.099998,101.099998,94.730003,99.860001,91.151733,124132500
2015-08-01,100.000000,101.879997,87.500000,97.330002,88.842354,162751200
2015-09-01,92.769997,98.970001,92.599998,98.529999,90.730072,121931500
2015-10-01,98.500000,113.959999,97.129997,112.250000,103.363953,170555800
2015-11-01,112.459999,114.989998,109.599998,114.160004,105.122742,129604000
2015-12-01,114.519997,120.230003,112.910004,118.139999,109.640640,115015200
2016-01-01,117.250000,124.349998,113.000000,123.779999,114.874893,163650900
2016-02-01,123.080002,124.830002,112.709999,117.190002,108.758995,163196400
2016-03-01,117.910004,126.959999,115.320000,125.680000,117.521820,138065700
2016-04-01,125.190002,129.800003,124.870003,126.489998,118.279228,111309100
2016-05-01,126.650002,131.960007,121.620003,122.059998,114.136803,116509800
2016-06-01,122.059998,124.080002,116.080002,120.339996,112.528442,123220100
2016-07-01,119.720001,128.600006,117.430000,117.650002,110.821709,109848700
2016-08-01,117.879997,120.019997,113.959999,115.660004,108.947220,100277300
2016-09-01,115.510002,119.239998,114.129997,115.360001,109.509125,91481000
2016-10-01,115.010002,115.739998,110.330002,112.570000,106.860626,100828900
2016-11-01,112.650002,121.870003,110.830002,119.269997,113.220810,89005600
2016-12-01,118.959999,124.000000,117.709999,121.720001,116.445076,78403000
2017-01-01,121.860001,123.339996,118.180000,122.570000,117.258240,76857800
2017-02-01,121.900002,128.899994,121.699997,127.650002,122.118103,64269600
2017-03-01,128.020004,130.190002,127.339996,129.610001,124.905792,89808900
2017-04-01,129.500000,142.789993,128.649994,139.929993,134.851227,77967600
2017-05-01,139.860001,151.149994,139.839996,150.889999,145.413437,74914100
2017-06-01,150.789993,155.460007,148.039993,153.160004,147.601028,70363800
2017-07-01,153.440002,159.979996,151.770004,155.139999,150.446396,69344000
2017-08-01,154.979996,160.000000,153.229996,159.970001,155.130280,66879200
2017-09-01,159.869995,161.720001,153.270004,156.679993,152.841263,81721200
2017-10-01,156.000000,167.899994,155.800003,166.910004,162.820633,70654900
2017-11-01,165.720001,173.169998,163.520004,171.970001,167.756638,58785800
2017-12-01,172.770004,175.779999,170.389999,172.119995,168.903915,57152900
2018-01-01,173.729996,178.699997,170.270004,171.139999,167.942230,79265200
2018-02-01,170.270004,173.539993,153.860001,157.740005,154.792633,107472200
2018-03-01,157.800003,163.229996,146.839996,156.380005,154.428864,110129700
2018-04-01,158.270004,167.949997,155.009995,167.440002,165.350876,89381500
2018-05-01,166.380005,167.300003,159.080002,160.009995,158.013550,71209800
2018-06-01,159.899994,171.559998,155.100006,156.690002,154.735001,92643700
2018-07-01,155.990005,160.979996,154.710007,157.539993,156.562622,70294400
2018-08-01,156.570007,163.339996,153.130005,162.229996,161.223526,68751600
2018-09-01,161.809998,167.509995,156.559998,166.529999,166.529999,67332000
